date,CBOE_Total_PCR,CBOE_Index_PCR,CBOE_ETP_PCR,CBOE_Equity_PCR,CBOE_VIX_PCR,CBOE_SPX_PCR
2025-02-12,0.85,1.09,0.95,0.56,0.45,1.27
2025-02-13,0.95,1.06,1.13,0.77,0.4,1.24
2025-02-14,0.7,1.04,0.66,0.46,0.26,1.47
2025-02-18,0.76,0.88,1.18,0.5,0.31,1.35
2025-02-19,0.89,1.16,0.98,0.6,0.29,1.47
2025-02-20,0.75,1.0,0.63,0.59,0.43,1.19
2025-02-21,0.87,1.11,0.93,0.63,0.42,1.41
2025-02-24,0.97,1.3,1.13,0.58,0.57,1.47
2025-02-25,0.92,1.17,0.94,0.64,0.76,1.29
2025-02-26,0.92,1.12,1.15,0.6,0.47,1.22
2025-02-27,0.84,0.85,1.12,0.68,0.2,1.22
2025-02-28,0.92,1.19,1.03,0.61,0.64,1.34
2025-03-03,0.94,1.05,1.19,0.64,0.44,1.32
2025-03-04,0.91,0.99,1.25,0.61,0.61,1.28
2025-03-05,0.76,0.82,0.93,0.54,0.26,1.24
2025-03-06,0.95,1.13,0.96,0.65,1.2,1.11
2025-03-07,0.9,1.23,0.94,0.57,0.98,1.27
2025-03-10,0.92,1.14,0.95,0.6,0.63,1.37
2025-03-11,0.91,0.95,1.29,0.57,0.6,1.18
2025-03-12,0.91,0.97,1.21,0.62,0.41,1.27
2025-03-13,1.03,1.02,1.23,0.94,0.44,1.26
2025-03-14,0.96,1.22,1.27,0.57,0.68,1.42
2025-03-17,0.91,1.04,1.17,0.59,0.75,1.17
2025-03-18,0.78,0.89,0.85,0.58,0.22,1.18
2025-03-19,0.88,1.16,0.95,0.54,0.51,1.34
2025-03-20,0.83,1.09,0.74,0.61,0.45,1.22
2025-03-21,0.82,1.08,0.89,0.55,0.45,1.18
2025-03-24,0.76,0.96,0.88,0.48,0.42,1.17
2025-03-25,0.79,0.8,1.04,0.65,0.33,1.11
2025-03-26,0.95,1.11,0.96,0.71,0.32,1.33
2025-03-27,0.97,1.13,1.15,0.72,0.57,1.27
2025-03-28,1.02,1.15,1.33,0.68,0.64,1.27
2025-03-31,0.97,1.14,1.18,0.58,0.46,1.29
2025-04-01,0.91,1.09,1.0,0.53,0.49,1.23
2025-04-02,0.95,1.02,1.2,0.59,0.65,1.17
2025-04-03,1.15,1.05,1.67,1.02,0.46,1.54
2025-04-04,1.18,1.31,1.93,0.64,0.6,1.78
